Player,Salary
Aaron Gordon,21590909.00
Aaron Holiday,1911960.00
Abdel Nader,1378242.00
Al Horford,28928709.00
Alan Williams,5000000.00
Alec Burks,11536515.00
Alex Abrines,5455236.00
Alex Len,4350000.00
Alex Poythress,1544951.00
Alexis Ajinca,5285394.00
Al-Farouq Aminu,6957105.00
Alfonzo McKinnie,1349383.00
Alize Johnson,838464.00
Allen Crabbe,18500000.00
Allonzo Trier,3382000.00
Amir Johnson,1512601.00
Andre Drummond,25434263.00
Andre Iguodala,16000000.00
Andre Roberson,10000000.00
Andrew Bogut,307648.00
Andrew Harrison,1544951.00
Andrew Wiggins,25467250.00
Anfernee Simons,1760520.00
Ante Zizic,1952760.00
Anthony Davis,25434263.00
Anthony Tolliver,4750000.00
Antonio Blakeney,1349383.00
Antonius Cleveland,1378242.00
Aron Baynes,5193600.00
Austin Rivers,922943.00
Avery Bradley,12000000.00
Bam Adebayo,2955840.00
Ben McLemore,5460000.00
Ben Moore,1349383.00
Ben Simmons,6434520.00
Billy Garrett,42634.00
Bismack Biyombo,17000000.00
BJ Johnson,42634.00
Blake Griffin,32088932.00
Boban Marjanovic,7000000.00
Bobby Portis,2494346.00
Bogdan Bogdanovic,9000000.00
Bojan Bogdanovic,10500000.00
Brad Wanamaker,838464.00
Bradley Beal,25434263.00
Brandon Goodwin,630032.00
Brandon Ingram,5757120.00
Brandon Jennings,2222803.00
Brandon Knight,14631250.00
Brandon Paul,1378242.00
Brook Lopez,3382000.00
Bruce Brown,838464.00
Bruno Caboclo,522151.00
Bryn Forbes,3125000.00
Buddy Hield,3844760.00
C.J. Miles,8333333.00
Caleb Swanigan,1740000.00
Cameron Payne,3263294.00
Cameron Reynolds,108953.00
Caris LeVert,1702800.00
Carmelo Anthony,1512601.00
Cedi Osman,2775000.00
Chandler Hutchison,1990520.00
Chandler Parsons,24107258.00
Channing Frye,1512601.00
Chasson Randle,869094.00
Cheick Diallo,1544951.00
Chimezie Metu,838464.00
Chinanu Onuaku,1544951.00
Chris Boucher,457418.00
Chris Chiozza,90005.00
Chris Paul,35654150.00
Christian Wood,1512601.00
CJ McCollum,25759766.00
Clint Capela,13793104.00
Cody Zeller,13528090.00
Collin Sexton,4068600.00
Corey Brewer,2000000.00
Cory Joseph,7945000.00
Courtney Lee,12253780.00
Cristiano Felicio,8740980.00
D.J. Augustin,7250000.00
D.J. Wilson,2534280.00
Dairis Bertans,194220.00
Dakari Johnson,1378242.00
Damian Jones,1544951.00
Damian Lillard,27977689.00
Damyean Dotson,1378242.00
D'Angelo Russell,7019698.00
Daniel Hamilton,1349383.00
Daniel Theis,1378242.00
Danilo Gallinari,21587579.00
Danny Green,10000000.00
Dante Cunningham,2487000.00
Dante Exum,9600000.00
Danuel House,247827.00
Dario Saric,2526840.00
Darius Miller,2205000.00
Darrell Arthur,7464912.00
Darren Collison,10000000.00
David Nwaba,1512601.00
David Stockton,1378242.00
Davis Bertans,7000000.00
De'Aaron Fox,5470920.00
Deandre Ayton,8165160.00
DeAndre' Bembry,1634640.00
DeAndre Jordan,22897200.00
DeAndre Liggins,1795015.00
De'Anthony Melton,94900.00
Dejounte Murray,1544951.00
Delon Wright,2536898.00
DeMar DeRozan,27739975.00
DeMarcus Cousins,5337000.00
DeMarre Carroll,15400000.00
Dennis Schroder,15500000.00
Dennis Smith Jr.,3819960.00
Denzel Valentine,2280600.00
Deonte Burton,151587.00
Derrick Favors,16900000.00
Derrick Jones Jr.,1512601.00
Derrick Rose,1512601.00
Derrick White,1667160.00
Devin Booker,3314365.00
Devin Harris,1512601.00
Devonte' Graham,988464.00
Dewayne Dedmon,7200000.00
Deyonta Davis,25367.00
Dillon Brooks,1378242.00
Dion Waiters,11550000.00
Dirk Nowitzki,5000000.00
Domantas Sabonis,2659800.00
Donatas Motiejunas,59820.00
Donovan Mitchell,3111480.00
Donte DiVincenzo,2481000.00
Dorian Finney-Smith,1544951.00
Doug McDermott,7333333.00
Dragan Bender,4661280.00
Draymond Green,17469565.00
Duncan Robinson,9474.00
Dwayne Bacon,1378242.00
Dwight Buycks,1600520.00
Dwight Howard,5337000.00
Dwight Powell,9631250.00
Dwyane Wade,1512601.00
Dzanan Musa,1632240.00
Ed Davis,4449000.00
Ekpe Udoh,3360000.00
Elfrid Payton,3000000.00
Elie Okobo,1238464.00
Emeka Okafor,2445085.00
Emmanuel Mudiay,4294480.00
Enes Kanter,487109.00
Eric Bledsoe,15000000.00
Eric Gordon,13500375.00
Eric Moreland,17092.00
Ersan Ilyasova,7000000.00
E'Twaun Moore,8808685.00
Evan Fournier,17150000.00
Evan Turner,17868853.00
Frank Jackson,1378242.00
Frank Kaminsky,3627842.00
Frank Mason III,1378242.00
Frank Ntilikina,4155720.00
Fred VanVleet,8653847.00
Furkan Korkmaz,1740000.00
Garrett Temple,8000000.00
Gary Clark,596873.00
Gary Harris,16517857.00
Gary Trent Jr.,838464.00
George Hill,19000000.00
Georges Niang,1512601.00
Georgios Papagiannis,1544951.00
Gerald Green,1512601.00
Giannis Antetokounmpo,24157303.00
Glenn Robinson III,4075000.00
Goran Dragic,18109175.00
Gordon Hayward,31214295.00
Gorgui Dieng,15170787.00
Grayson Allen,2074320.00
Greg Monroe,59820.00
Guerschon Yabusele,2667600.00
Hamidou Diallo,838464.00
Harrison Barnes,24107258.00
Harry Giles,2207040.00
Hassan Whiteside,25434262.00
Henry Ellenson,341831.00
Ian Clark,1512601.00
Ian Mahinmi,15944154.00
Ike Anigbogu,1378242.00
Iman Shumpert,11011234.00
Isaac Bonga,1000000.00
Isaac Humphries,47371.00
Isaiah Briscoe,838464.00
Isaiah Canaan,1512601.00
Isaiah Hartenstein,838464.00
Isaiah Thomas,1512601.00
Ish Smith,6000000.00
Ivan Rabb,1378242.00
Ivica Zubac,1544951.00
J.J. Barea,3710850.00
Jabari Bird,1349464.00
Jabari Parker,20000000.00
Jacob Evans,1644240.00
Jae Crowder,7305825.00
Jahlil Okafor,1567707.00
JaKarr Sampson,85458.00
Jake Layman,1544951.00
Jakob Poeltl,2947320.00
Jalen Brunson,1230000.00
Jamal Crawford,1512601.00
Jamal Murray,3499800.00
James Ennis,1621415.00
James Harden,30421854.00
James Johnson,14651700.00
JaMychal Green,7666667.00
Jared Dudley,9530000.00
Jarell Martin,2416222.00
Jaren Jackson Jr.,5915040.00
Jarred Vanderbilt,838464.00
Jarrett Allen,2034120.00
Jason Smith,5450000.00
JaVale McGee,1512601.00
Jawun Evans,1378242.00
Jaylen Adams,270014.00
Jaylen Brown,5169960.00
Jaylen Morris,1378242.00
Jayson Tatum,6700800.00
Jeff Green,1512601.00
Jeff Teague,19000000.00
Jemerrio Jones,52108.00
Jerami Grant,8653847.00
Jeremy Lamb,7488372.00
Jeremy Lin,487109.00
Jerian Grant,2639314.00
Jerome Robinson,3046200.00
Jerryd Bayless,8575916.00
Jevon Carter,838464.00
Jimmer Fredette,208509.00
Jimmy Butler,20445779.00
JJ Redick,12250000.00
Joakim Noah,1093858.00
Jodie Meeks,3454500.00
Joe Harris,8333333.00
Joe Ingles,13045455.00
Joel Embiid,25467250.00
John Collins,2299080.00
John Henson,11327466.00
John Jenkins,486520.00
John Wall,19169800.00
Jon Leuer,10002681.00
Jonah Bolden,1690000.00
Jonas Jerebko,1512601.00
Jonas Valanciunas,16539326.00
Jonathan Gibson,17092.00
Jonathan Isaac,4969080.00
Jonathon Simmons,6000000.00
Jordan Bell,1378242.00
Jordan Clarkson,12500000.00
Jordan McRae,17092.00
Jose Calderon,1512601.00
Josh Hart,1655160.00
Josh Jackson,6041520.00
Josh Okogie,2160720.00
Josh Richardson,9367200.00
JR Smith,14720000.00
Jrue Holiday,25976111.00
Juancho Hernangomez,2166360.00
Julius Randle,8641000.00
Julyan Stone,1656092.00
Justin Anderson,2516048.00
Justin Holiday,4384616.00
Justin Jackson,2807880.00
Justin Patton,2667600.00
Justise Winslow,3448926.00
Jusuf Nurkic,11111111.00
Karl-Anthony Towns,7839435.00
Kawhi Leonard,23114067.00
Keita Bates-Diop,838464.00
Kelly Olynyk,12537527.00
Kelly Oubre Jr.,3208630.00
Kemba Walker,12000000.00
Kendrick Nunn,4737.00
Kendrick Perkins,2445085.00
Kenneth Faried,683661.00
Kenrich Williams,838464.00
Kent Bazemore,18089887.00
Kentavious Caldwell-Pope,12000000.00
Kevin Durant,30000000.00
Kevin Huerter,2250960.00
Kevin Knox,3739920.00
Kevin Love,24119025.00
Kevon Looney,1512601.00
Khem Birch,1378242.00
Khris Middleton,13000000.00
Khyri Thomas,838464.00
Klay Thompson,18988725.00
Kosta Koufos,8739500.00
Kris Dunn,4221000.00
Kristaps Porzingis,5697054.00
Kyle Anderson,8641000.00
Kyle Korver,7560000.00
Kyle Kuzma,1689840.00
Kyle Lowry,31200000.00
Kyle O'Quinn,4449000.00
Kyle Singler,4996000.00
Kyrie Irving,20099189.00
LaMarcus Aldridge,22347015.00
Lance Stephenson,4449000.00
Lance Thomas,7119650.00
Landry Shamet,1703649.00
Langston Galloway,7000000.00
Larry Nance Jr.,2272391.00
Lauri Markkanen,4536120.00
LeBron James,35654150.00
Lonnie Walker,2357160.00
Lonzo Ball,7461960.00
Lou Williams,8000000.00
Luc Mbah a Moute,4320500.00
Luka Doncic,6560640.00
Luke Babbitt,14651700.00
Luke Kennard,3275280.00
Luke Kornet,1619260.00
Luol Deng,1512601.00
Malachi Richardson,1569360.00
Malcolm Brogdon,1544951.00
Malcolm Miller,457418.00
Malik Beasley,1773840.00
Malik Monk,3447480.00
Manu Ginobili,2500000.00
Marc Gasol,24119025.00
Marcin Gortat,13565218.00
Marco Belinelli,6153846.00
Marcus Morris,5375000.00
Marcus Smart,11660716.00
Mario Hezonja,6500000.00
Markelle Fultz,8339880.00
Markieff Morris,427288.00
Marquese Chriss,3206160.00
MarShon Brooks,1656092.00
Marvin Bagley III,7305600.00
Marvin Williams,14087500.00
Mason Plumlee,12917808.00
Matthew Dellavedova,9607500.00
Maurice Harkless,10837079.00
Maxi Kleber,1378242.00
Melvin Frazier,1050000.00
Meyers Leonard,10595506.00
Michael Beasley,3500000.00
Michael Carter-Williams,59820.00
Michael Frazier II,23685.00
Michael Kidd-Gilchrist,13000000.00
Michael Porter,2894160.00
Mikal Bridges,3552960.00
Mike Conley,30521115.00
Mike Muscala,5000000.00
Mike Scott,4320500.00
Miles Bridges,3206640.00
Miles Plumlee,12500000.00
Milos Teodosic,6300000.00
Mitchell Creek,47371.00
Mitchell Robinson,1485440.00
Mo Bamba,4865040.00
Monte Morris,1349383.00
Montrezl Harrell,6000000.00
Moritz Wagner,1762080.00
Myles Turner,3410284.00
Nemanja Bjelica,6500000.00
Nene Hilario,3651480.00
Nerlens Noel,1757429.00
Nick Young,1042584.00
Nicolas Batum,24000000.00
Nik Stauskas,504200.00
Nikola Jokic,24605181.00
Nikola Mirotic,12500000.00
Nikola Vucevic,12750000.00
Noah Vonleh,1512601.00
Norman Powell,9367200.00
OG Anunoby,2034120.00
Okaro White,1187862.00
Omari Spellman,1620480.00
Omer Asik,11286516.00
Omri Casspi,1512601.00
Otto Porter,26011913.00
P.J. Tucker,7969537.00
Pascal Siakam,1544951.00
Pat Connaughton,1641000.00
Patrick Beverley,5027028.00
Patrick McCaw,777665.00
Patrick Patterson,5451600.00
Patty Mills,11571429.00
Pau Gasol,333285.00
Paul George,30560700.00
Paul Millsap,29230769.00
Paul Zipser,1544951.00
Quincy Pondexter,1512601.00
Quinn Cook,1544951.00
Rajon Rondo,9000000.00
Raul Neto,2150000.00
Ray Spalding,184746.00
Raymond Felton,1512601.00
Reggie Bullock,2500000.00
Reggie Jackson,17043478.00
Richaun Holmes,1600520.00
Ricky Rubio,14975000.00
Robert Covington,10464092.00
Robert Williams,1654440.00
Robin Lopez,14357750.00
Rodions Kurucs,1618320.00
Rodney Hood,3472887.00
Rodney McGruder,1544951.00
Rodney Purvis,1378242.00
Ron Baker,948580.00
Rondae Hollis-Jefferson,2470357.00
Royce O'Neale,1378242.00
Rudy Gay,10087200.00
Rudy Gobert,23241573.00
Russell Westbrook,35654150.00
Ryan Anderson,20421546.00
Ryan Arcidiacono,1349383.00
Ryan Broekhoff,838464.00
Salah Mejri,512746.00
Sam Dekker,2760095.00
Sean Kilpatrick,2054856.00
Semi Ojeleye,1378242.00
Serge Ibaka,21666667.00
Seth Curry,2795000.00
Shabazz Napier,1942422.00
Shai Gilgeous-Alexander,3375360.00
Shaquille Harrison,1311265.00
Shaun Livingston,8307692.00
Shelvin Mack,1512601.00
Sindarius Thornwell,1378242.00
Skal Labissiere,1544951.00
Solomon Hill,12252928.00
Spencer Dinwiddie,1656092.00
Stanley Johnson,3940402.00
Stephen Curry,37457154.00
Sterling Brown,1378242.00
Steven Adams,24157303.00
Svi Mykhailiuk,1487694.00
T.J. Leaf,2407560.00
T.J. McConnell,1600520.00
T.J. Warren,11750000.00
Taj Gibson,14000000.00
Tarik Phillip,9474.00
Taurean Prince,2526840.00
Terrance Ferguson,2118840.00
Terrence Ross,10500000.00
Terry Rozier,3050390.00
Thabo Sefolosha,5250000.00
Thaddeus Young,13964045.00
Theo Pinson,4737.00
Thomas Bryant,1378242.00
Thon Maker,2799720.00
Tim Frazier,196553.00
Tim Hardaway Jr.,19200127.00
Timofey Mozgov,16000000.00
Timothe Luwawu-Cabarrot,1544951.00
Tobias Harris,14800000.00
Tomas Satoransky,3129187.00
Tony Bradley,1679520.00
Tony Parker,5000000.00
Tony Snell,10807143.00
Torrey Craig,2000000.00
Trae Young,5356440.00
Treveon Graham,1512601.00
Trevor Ariza,15000000.00
Trey Burke,1795015.00
Trey Lyles,3364249.00
Tristan Thompson,17469565.00
Troy Brown Jr.,2749080.00
Troy Daniels,3258539.00
Troy Williams,1512601.00
Tyler Dorsey,1378242.00
Tyler Johnson,19356932.00
Tyler Lydon,1874640.00
Tyler Zeller,59820.00
Tyreke Evans,12400000.00
Tyrone Wallace,1349383.00
Tyson Chandler,1333140.00
Tyus Jones,2444053.00
Udonis Haslem,1512601.00
Victor Oladipo,21000000.00
Vince Carter,1512601.00
Wade Baldwin,1544951.00
Wayne Ellington,2383076.00
Wayne Selden,1544951.00
Wendell Carter Jr.,4441200.00
Wes Iwundu,1378242.00
Wesley Johnson,6134520.00
Wesley Matthews,512746.00
Will Barton,11830358.00
Willie Cauley-Stein,4696875.00
Willy Hernangomez,1544951.00
Wilson Chandler,12800562.00
Yante Maten,18948.00
Yogi Ferrell,3000000.00
Zach Collins,3628920.00
Zach LaVine,19500000.00
Zach Randolph,11692308.00
Zaza Pachulia,1512601.00
Zhaire Smith,2526840.00
Zhou Qi,1378242.00
